Mixture,Ex1,Ex2,Ex3,Ex4,Ex5,Ex6,Ex8,In1,In3,In4,PVALB,SST,End,Per,Ast,Oli,OPC,Mic,P-value,Correlation,RMSE
11304,0.0993039896657085,0,0.15038543068917,0.241088951379742,0.0598238058984203,0,0.00212356721340198,0.00716640653733678,0.072127893624823,0.00194741010074229,0.119784286282361,0.00393282112403964,0.0262504439929738,0.0107788969793979,0.0608876187805387,0.0974703018427703,0.0213840917778507,0.0255440841107223,0,0.658602420839594,0.790101008682157
11287,0.13734968388033,0,0.160697005277211,0.213424769325884,0.0548809819658581,0,0.0153167911379656,0.0128160194287374,0.0759855316087399,0.0122815193152131,0.108458944465638,0.00906757098699131,0.0268135604107279,0.0117498075527419,0.0835902605216701,0.0324069513452642,0.0172885773160028,0.0278720254610237,0,0.666482855212274,0.781436152273493
11279,0,0.00326377755894987,0.309744212381374,0.0915238845515012,0.0493803336753814,0,0.0185420585592651,0,0.0983095727025592,0.0331019099991099,0.186185395132572,0.0150417941771327,0.0248983408025628,0.0100361257810989,0.054559245262724,0.0569000108956792,0.00970151477365783,0.0388118237464316,0,0.710893796606704,0.72506102049827
11264,0.202232481214741,0,0.162832186050883,0.199814595378761,0.0678413869581826,0,0.00849996248186125,0.00816347359898482,0.0685068743145711,0.0103631656794879,0.0353983785885862,0,0.026279053914839,0.0096184043357789,0.0729389886101532,0.0845144194374198,0.0213952749254304,0.0216013545103199,0,0.66403842034893,0.782948882000444
11206,0.163206268982424,0,0.127484045642599,0.256611293863341,0.10197135743426,0,0.00181037253283976,0.0165140650967397,0.0643287296474305,0.0041117159674497,0.0723817748858771,0.0136624594071099,0.0200281245323167,0.0088069344141967,0.0750952670320594,0.0330960963728405,0.0155173857887883,0.0253741083997278,0,0.674081518339687,0.787684011779064
11190,0.0940588564737271,0,0.148443227024393,0.247533342696619,0.0733906138619665,0,0,0.0130125325151854,0.0690815310040427,0,0.156062689774083,0.00776183650990128,0.02281702418938,0.01053838627027,0.0641645396348564,0.0497304344939861,0.013074767234386,0.0303302183172032,0,0.670035174777358,0.786489848704575
11174,0.0562369280304869,0,0.182375414460701,0.173215018426423,0.0676879527543813,0,0.0151965887628678,0,0.0909033948360489,0.0370495344481483,0.120663043083912,0.00276878706418265,0.0352798751759346,0.0131028134821333,0.0756979396744581,0.0957400205468644,0.0121752134419556,0.0219074758115023,0,0.695775030234351,0.75822603277311
11300,0.117994639824928,0,0.0901209808611091,0.26378444482971,0.100591875380224,0,0,0.0309481474812888,0.0580794661913939,0,0.125420748372547,0.0242142828387118,0.0228139981545543,0.0108855164335374,0.0446218945434014,0.051523463862577,0.0295800944671698,0.029420446758848,0,0.668773134915531,0.805204837557949
11236,0,0.0277995290105935,0.290758727215154,0.142326988252177,0.101584563223117,0,0.0365782075897364,0,0.0854144392330261,0.0252984364138159,0.114978802611349,0.0166829511305752,0.0222867868505534,0.0137428401988174,0.0325003056274477,0.0425378185118411,0.0193906987340561,0.0281189053977408,0,0.710531433195535,0.733513864650405
11228,0.132533885451935,0,0.149581306340599,0.215317458243943,0.108561973301571,0,0.00601776995851335,0.0120089657163515,0.0638992384274897,0.0026372174640984,0.0918466317296888,0.0224474792648141,0.0245033523073367,0.00985466030742825,0.0743207525310442,0.0470081052551103,0.014993237803524,0.0244679658965521,0,0.674501066102185,0.782346502337524
13881,0.139547534931078,0,0.156069838994512,0.226436673715102,0.0959376104751727,0,0.0120071985220644,0.0362588612140009,0.0571952344832901,0,0.072370761892294,0.0319577822270545,0.0257382611067581,0.0102668989681687,0.069082974623536,0.0314591774507041,0.0090120706301846,0.0266591207660795,0,0.650780590595333,0.793265588203802
14073,0.1284303045024,0,0.142121430206857,0.27708618451738,0.109216222527423,0,0.00436218728437325,0.0416819068251333,0.0418283944941985,0.00267934769960175,0.0870132067132824,0.0283604373601156,0.0186172112338259,0.00727581955735255,0.0418019867879133,0.0398725397564889,0.00804570881356936,0.0216071117200855,0,0.649914822044618,0.80200398625978
